Skill 1 Attack: Damage Formula: a.atk * 4 - b.def * 2
Skill 3 Thunder: Damage Formula: 200 + a.mat * 2 - b.mdf * 2
Skill 4 Foot on the door!: Damage Formula: a.atk * 5 - b.def * 2
Skill 5 Fist on the face!: Damage Formula: a.atk * 5 - b.def * 2
Troop 1 Evil Bat  Page 1 Line 2:  - Script call: Lune_Message.config(2, 0)
Common Event 1 Game Over Line 18:  - Script call: Lune_Message.config(1, 4)
Common Event 1 Game Over Line 24:  - Script call: Lune_Message.config(0, 0)
Common Event 1 Game Over Line 27:  - Script call: Lune_Message.config(1, 4)
Map 32 The end end - Event 3 EV003 (0,0) - Page 1 Line 63:  - Script call: Lune_Message.config(1, 2)
Map 32 The end end - Event 3 EV003 (0,0) - Page 1 Line 101:  - Script call: Lune_Message.config(0, 0)
Map 32 The end end - Event 3 EV003 (0,0) - Page 1 Line 104:  - Script call: Lune_Message.config(1, 2)
Map 32 The end end - Event 3 EV003 (0,0) - Page 1 Line 107:  - Script call: Lune_Message.config(0, 0)
Map 32 The end end - Event 3 EV003 (0,0) - Page 1 Line 111:  - Script call: Lune_Message.config(1, 2)
Map 32 The end end - Event 3 EV003 (0,0) - Page 1 Line 148:  - Script call: Lune_Message.config(1, 2)
Map 32 The end end - Event 4 porta mau (3,3) - Page 1 Line 2:  - Script call: Lune_Message.config(1, 2)
Map 32 The end end - Event 4 porta mau (3,3) - Page 2 Line 2:  - Script call: Lune_Message.config(0, 0)
Map 32 The end end - Event 4 porta mau (3,3) - Page 3 Line 2:  - Script call: Lune_Message.config(0, 0)
Map 32 The end end - Event 5 EV005 (13,3) - Page 1 Line 2:  - Script call: Lune_Message.config(1, 2)
Map 33 Fin - Event 1 EV001 (0,0) - Page 1 Line 1:  - Script call: Lune_Message.config(2, 0)
Map 34 Credits - Event 1 EV001 (0,0) - Page 1 Line 66:  - Script call: Lune_Message.config(1, 0)
